iso_code,continent,location,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,outdoor_pollution_death_rate,unsafe_sanitaton_death_rate
ALB,Europe,Albania,210224,3217,73173.975,1119.761,46.3,2872934,104.871,38,13.188,11803.431,1.1,304.195,10.08,7.1,51.2,2.89,78.57,0.795,37.50004557,0.007406955
ARG,South America,Argentina,5654408,117169,123984.343,2569.168,41.67,45605823,16.177,31.9,11.198,18933.907,0.6,191.032,5.5,16.2,27.7,5,76.67,0.845,24.18835346,0.023628904
AUS,Oceania,Australia,425496,2253,16499.628,87.365,40.28,25788217,3.202,37.9,15.504,44648.71,0.5,107.791,5.07,13,16.5,3.84,83.44,0.944,4.307855446,0.004647258
AUT,Europe,Austria,1278619,13733,141392.107,1518.621,60.19,9043072,106.749,44.4,19.202,45436.686,0.7,145.183,6.35,28.4,30.9,7.37,81.54,0.922,13.59295441,0.008560705
BEL,Europe,Belgium,2105343,28331,180990.591,2435.539,50,11632334,375.564,41.8,18.571,42658.576,0.2,114.898,4.29,25.1,31.4,5.64,81.63,0.931,14.96494896,0.012591222
BEN,Africa,Benin,24935,161,2002.645,12.931,50,12451031,99.11,18.8,3.244,2064.236,49.6,235.848,0.99,0.6,12.3,0.5,61.77,0.545,38.0050594,3.195483787
BFA,Africa,Burkina Faso,17632,318,820.204,14.793,13.89,21497097,70.151,17.6,2.409,1703.102,43.7,269.048,2.42,1.6,23.9,0.4,61.58,0.452,27.13503403,4.297650493
BGD,Asia,Bangladesh,1585539,28072,9534.009,168.8,38.89,166303494,1265.036,27.5,5.098,3523.984,14.8,298.003,8.38,1,44.7,0.8,72.59,0.632,70.62985389,2.4846348
BGR,Europe,Bulgaria,747108,30955,108329.038,4488.408,50,6896655,65.18,44.7,20.801,18563.307,1.5,424.688,5.81,30.1,44.4,7.454,75.05,0.816,63.80244389,0.001286976
BIH,Europe,Bosnia and Herzegovina,291313,13442,89265.102,4118.943,35.19,3263459,68.496,42.5,16.569,11713.895,0.2,329.635,10.08,30.2,47.7,3.5,77.4,0.78,64.64710238,0.003715997
BRA,South America,Brazil,22291839,619334,104170.665,2894.173,61.57,213993441,25.04,33.5,8.552,14103.452,3.4,177.961,8.11,10.1,17.9,2.2,75.88,0.765,20.93499949,0.197796087
BWA,Africa,Botswana,219509,2444,91567.386,1019.506,21.3,2397240,4.044,25.8,3.941,15807.374,1.8,237.372,4.81,5.7,34.4,1.8,69.59,0.735,75.8293091,1.125177023
CAN,North America,Canada,2223735,30570,58414.944,803.039,74.54,38067913,4.037,41.4,16.984,44017.591,0.5,105.599,7.37,12,16.6,2.5,82.43,0.929,6.167969646,0.021885496
CHL,South America,Chile,1806494,39115,94027.689,2035.929,35.65,19212362,24.282,35.4,11.087,22767.037,1.3,127.993,8.46,34.2,41.5,2.11,80.18,0.851,25.15657005,0.052475078
CHN,Asia,China,102314,4636,70.844,3.21,79.17,1444216102,147.674,38.7,10.641,15308.712,0.7,261.899,9.74,1.9,48.4,4.34,76.91,0.761,87.19569323,0.024572127
COL,South America,Colombia,5157440,129942,100601.88,2534.67,59.26,51265841,44.223,32.2,7.646,13254.949,4.5,124.24,7.44,4.7,13.5,1.71,77.29,0.767,24.83174351,0.051918143
CRI,North America,Costa Rica,570556,7353,111023.568,1430.808,45.37,5139053,96.079,33.6,9.468,15524.995,1.3,137.973,8.78,6.4,17.4,1.13,80.28,0.81,19.03814098,0.018969377
DJI,Africa,Djibouti,13656,189,13626.064,188.586,49.07,1002197,41.285,25.4,4.213,2705.406,22.5,258.037,6.05,1.7,24.5,1.4,67.11,0.524,77.56065923,2.334281197
DNK,Europe,Denmark,802397,3267,138027.751,561.987,38.89,5813302,136.52,42.3,19.677,46682.515,0.2,114.767,6.41,19.3,18.8,2.5,80.9,0.94,12.07821355,0.007797118
DOM,North America,Dominican Republic,418778,4247,38231.599,387.722,37.96,10953714,222.873,27.6,6.981,14600.861,1.6,266.653,8.2,8.5,19.1,1.6,74.08,0.756,37.15631227,0.208069798
DZA,Africa,Algeria,218432,6276,4895.753,140.665,48.15,44616626,17.348,29.1,6.211,13913.839,0.5,278.364,6.73,0.7,30.4,1.9,76.88,0.748,79.11874593,0.037760266
ECU,South America,Ecuador,549418,33681,30713.52,1882.832,63.43,17888474,66.939,28.1,7.104,10581.936,3.6,140.448,5.55,2,12.3,1.5,77.01,0.759,31.02477169,0.102196691
EGY,Africa,Egypt,385575,21752,3698.266,208.636,43.52,104258327,97.999,25.3,5.159,10550.206,1.3,525.432,17.31,0.2,50.1,1.6,71.99,0.707,160.7194762,0.245055691
ESP,Europe,Spain,6294745,89405,134660.746,1912.602,56.02,46745211,93.105,45.5,19.436,34272.36,1,99.403,7.17,27.4,31.4,2.97,83.56,0.904,10.34083689,0.00257102
EST,Europe,Estonia,241408,1932,182168.87,1457.906,34.26,1325188,31.033,42.7,19.452,29481.252,0.5,255.569,4.02,24.5,39.3,4.69,78.74,0.892,5.896921066,0.002698272
ETH,Africa,Ethiopia,420342,6937,3565.961,58.85,40.74,117876226,104.957,19.8,3.526,1729.927,26.7,182.634,7.47,0.4,8.5,0.3,66.6,0.485,21.06998436,5.10125553
FIN,Europe,Finland,270829,1714,48812.433,308.92,34.72,5548361,18.136,42.8,21.228,40585.721,0.06,153.507,5.76,18.3,22.6,3.28,81.91,0.938,3.125154137,0.001441471
FJI,Oceania,Fiji,53332,698,59067.515,773.065,90.74,902899,49.562,28.6,6.224,8702.975,1.4,412.82,14.49,10.2,34.8,2.3,67.44,0.743,48.61884836,0.459997735
GBR,Europe,United Kingdom,12964690,148737,190078.267,2180.667,48.61,68207114,272.898,40.8,18.517,39753.244,0.2,122.137,4.28,20,24.7,2.54,81.32,0.932,11.20859493,0.001135509
GEO,Asia,Georgia,934741,13800,234872.944,3467.534,46.3,3979773,65.032,38.7,14.864,9745.079,4.2,496.218,7.11,5.3,55.5,2.6,73.77,0.812,52.51354792,0.020498373
GMB,Africa,Gambia,10170,343,4089.368,137.921,13.89,2486937,207.566,17.5,2.339,1561.767,10.1,331.43,1.91,0.7,31.2,1.1,62.05,0.496,50.15409699,2.104702904
HRV,Europe,Croatia,715245,12538,175233.98,3071.792,40.74,4081657,73.726,44,19.724,22669.797,0.7,253.782,5.59,34.3,39.9,5.54,78.49,0.851,35.34039757,0.003082135
HTI,North America,Haiti,25985,766,2251.405,66.368,43.52,11541683,398.448,24.3,4.8,1653.173,23.5,430.548,6.65,2.9,23.1,0.7,64,0.51,28.10262029,1.711584343
HUN,Europe,Hungary,1256415,39186,130412.484,4067.401,40.74,9634162,108.043,43.4,18.577,26777.561,0.5,278.296,7.55,26.8,34.8,7.02,76.88,0.854,37.20798918,0.022916042
IDN,Asia,Indonesia,4262720,144094,15424.419,521.396,66.2,276361788,145.725,29.3,5.319,11188.744,5.7,342.864,6.32,2.8,76.1,1.04,71.72,0.718,58.16524903,1.146777415
IND,Asia,India,34861579,481486,25018.913,345.545,59.72,1393409033,450.419,28.2,5.989,6426.674,21.2,282.28,10.39,1.9,20.6,0.53,69.66,0.645,113.9444699,3.602167063
IRL,Europe,Ireland,788559,5912,158252.898,1186.457,52.78,4982904,69.874,38.7,13.928,67335.293,0.2,126.459,3.28,23,25.7,2.96,82.3,0.955,7.223298638,0.005907843
IRN,Asia,Iran,6194401,131606,72850.657,1547.782,54.63,85028760,49.831,32.4,5.44,19082.62,0.2,270.308,9.59,0.8,21.1,1.5,76.68,0.783,66.02609837,0.037908686
ISL,Europe,Iceland,27059,37,73371.982,100.328,37.96,368792,3.404,37.3,14.431,46482.958,0.2,117.992,5.31,14.3,15.2,2.91,82.99,0.949,3.133519211,0.003105321
ISR,Asia,Israel,1383932,8243,148954.042,887.203,56.48,9291000,402.606,30.6,11.733,33132.32,0.5,93.32,6.74,15.4,35.4,2.99,82.97,0.919,20.1604603,0.020448987
ITA,Europe,Italy,6125683,137402,101473.242,2276.093,76.85,60367471,205.859,47.9,23.021,35220.084,2,113.151,4.78,19.8,27.8,3.18,83.51,0.892,16.62465381,0.003768493
JAM,North America,Jamaica,93920,2473,31586.077,831.69,77.78,2973462,266.879,31.4,9.684,8193.571,1.8,206.537,11.28,5.3,28.6,1.7,74.47,0.734,31.81908468,0.085099422
